DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location
W,Kedzie-Homan (Forest Pk-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),1,0,1,0,0,0,0,0,0,0,"(41.874341, -87.70604)"
N,Clark/Division (Howard-bound),Clark/Division,Clark/Division (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.90392, -87.631412)"
S,Indiana (63rd-bound),Indiana,Indiana (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.821732, -87.621371)"
E,Kostner (Loop-bound),Kostner,Kostner (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853751, -87.733258)"
S,Kedzie (Loop-bound),Kedzie,Kedzie (Brown Line),1,0,0,0,1,0,0,0,0,0,"(41.965996, -87.708821)"
S,Dempster-Skokie (Howard-bound),Dempster-Skokie,Dempster-Skokie  (Yellow Line),1,0,0,0,0,0,0,1,0,0,"(42.038951, -87.751919)"
W,Morgan (Harlem-54th/Cermak-bound),Morgan,Morgan (Green & Pink lines),1,0,0,1,0,0,0,0,1,0,"(41.885586, -87.652193)"
S,Thorndale (95th-bound),Thorndale,Thorndale (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.990259, -87.659076)"
E,Cicero (O'Hare-bound),Cicero,Cicero (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.871574, -87.745154)"
N,Oakton-Skokie (Dempster-Skokie-bound),Oakton-Skokie,Oakton-Skokie (Yellow Line),1,0,0,0,0,0,0,1,0,0,"(42.02624348, -87.74722084)"
S,Chicago (Loop-bound),Chicago,Chicago (Brown & Purple lines),1,0,0,0,1,0,1,0,0,0,"(41.89681, -87.635924)"
S,43rd (63rd-bound),43rd,43rd (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.816462, -87.619021)"
E,Pulaski (Loop-bound),Pulaski,Pulaski (Pink Line),1,0,0,0,0,0,0,0,1,0,"(41.853732, -87.724311)"
W,Ashland (Harlem-54th/Cermak-bound),Ashland,Ashland (Green & Pink lines),1,0,0,1,0,0,0,0,1,0,"(41.885269, -87.666969)"
W,Cottage Grove (Harlem-bound),Cottage Grove,Cottage Grove (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.780309, -87.605857)"
S,Sox-35th (95th-bound),Sox-35th,Sox-35th (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.831191, -87.630636)"
S,Midway (Arrival),Midway,Midway (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.78661, -87.737875)"
S,Damen/Milwaukee (Forest Pk-bound),Damen,Damen (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.909744, -87.677437)"
N,Halsted (Loop-bound),Halsted,Halsted (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.84678, -87.648088)"
S,Monroe (95th-bound),Monroe,Monroe (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.880745, -87.627696)"
W,Clark/Lake (Outer Loop),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",1,0,0,1,1,0,0,0,0,0,"(41.885737, -87.630886)"
N,Central (Linden-bound),Central,Central (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.063987, -87.685617)"
E,Pulaski (63rd-bound),Pulaski,Pulaski (Green Line),1,0,0,1,0,0,0,0,0,0,"(41.885412, -87.725404)"
W,Ridgeland (Harlem-bound),Ridgeland,Ridgeland (Green Line),0,0,0,1,0,0,0,0,0,0,"(41.887159, -87.783661)"
S,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow lines)",1,0,0,0,0,1,1,1,0,0,"(42.019063, -87.672892)"
S,Linden (Howard-Loop-bound),Linden,Linden (Purple Line),1,0,0,0,0,1,1,0,0,0,"(42.073153, -87.69073)"
N,Davis (Linden-bound),Davis,Davis (Purple Line),1,0,0,0,0,1,1,0,0,0,"(42.04771, -87.683543)"
N,Garfield (Howard-bound),Garfield,Garfield (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.79542, -87.631157)"
S,Washington (Forest Pk-bound),Washington,Washington (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.883164, -87.62944)"
S,North/Clybourn (95th-bound),North/Clybourn,North/Clybourn (Red Line),0,1,0,0,0,0,0,0,0,0,"(41.910655, -87.649177)"
S,Grand/State (95th-bound),Grand,Grand (Red Line),1,1,0,0,0,0,0,0,0,0,"(41.891665, -87.628021)"
N,Wilson (Howard-bound),Wilson,Wilson (Red & Purple lines),1,1,0,0,0,0,0,0,0,0,"(41.964273, -87.657588)"
W,Oak Park (Forest Pk-bound),Oak Park,Oak Park (Blue Line),0,0,1,0,0,0,0,0,0,0,"(41.872108, -87.791602)"
S,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),1,0,0,0,0,0,0,0,0,1,"(41.829353, -87.680622)"
N,South Blvd (Linden-bound),South Boulevard,South Boulevard (Purple Line),0,0,0,0,0,1,1,0,0,0,"(42.027612, -87.678329)"
