Price,Address,Listing URL,Short Address,Zip,Beds,Baths,Raw Property Details,Latitude,Longitude
1000.0,"5126 S Prairie Ave APT 1, Chicago, IL 60615",https://www.zillow.com/homedetails/5126-S-Prairie-Ave-APT-1-Chicago-IL-60615/402296419_zpid/,5126 S Prairie Ave APT 1,60615,1.0,1.0,1 bds | 1 ba ,41.801205,-87.61991
1000.0,"938 W 31st Pl #B, Chicago, IL 60608",https://www.zillow.com/homedetails/938-W-31st-Pl-B-Chicago-IL-60608/443088058_zpid/,938 W 31st Pl #B,60608,1.0,1.0,1 bds | 1 ba ,41.837437,-87.65026
1000.0,"2206 E 70th St #G, Chicago, IL 60649",https://www.zillow.com/homedetails/2206-E-70th-St-G-Chicago-IL-60649/443107498_zpid/,2206 E 70th St #G,60649,2.0,1.0,2 bds | 1 ba ,41.76817,-87.57105
1000.0,"6957 S Michigan Ave, Chicago, IL 60637",https://zillow.com//apartments/chicago-il/6957-s-michigan/9S43YD/,6957 S  Michigan Ave # 112-3,60637,1.0,1.0,1 bds ,41.76757,-87.62127
1000.0,"5442 S Harper Ave APT 308, Chicago, IL 60615",https://www.zillow.com/homedetails/5442-S-Harper-Ave-APT-308-Chicago-IL-60615/2095104080_zpid/,5442 S Harper Ave APT 308,60615,0.0,1.0,Studio | 1 ba | 625 sqft,41.79677,-87.58936
1000.0,"7437 S Eberhart Ave, Chicago, IL 60619",https://www.zillow.com/homedetails/7437-S-Eberhart-Ave-Chicago-IL-60619/2098904002_zpid/,7437 S Eberhart Ave,60619,1.0,1.0,1 bds | 1 ba | 600 sqft,41.759155,-87.61234
1000.0,"4416 W Monroe St, Chicago, IL 60624",https://www.zillow.com/homedetails/4416-W-Monroe-St-Chicago-IL-60624/2114345917_zpid/,4416 W Monroe St,60624,0.0,1.0,Studio | 1 ba | 800 sqft,41.879894,-87.73615
1000.0,"6819 S Loomis Blvd #1, Chicago, IL 60636",https://www.zillow.com/homedetails/6819-S-Loomis-Blvd-1-Chicago-IL-60636/2122272826_zpid/,6819 S Loomis Blvd #1,60636,2.0,1.0,2 bds | 1 ba ,41.769863,-87.6588
1000.0,"7337 S South Shore Dr, Chicago, IL 60649",https://zillow.com//b/7337-s-south-shore-dr-chicago-il-5XjD2G/,7337 S  South Shore Dr Apt 1221,60649,0.0,1.0,Studio ,41.76352,-87.55857
1000.0,"10345 S Avenue O, Chicago, IL 60617",https://www.zillow.com/homedetails/10345-S-Avenue-O-Chicago-IL-60617/4169597_zpid/,10345 S Avenue O,60617,2.0,1.0,2 bds | 1 ba | 800 sqft,41.706932,-87.53977
1000.0,"3946 W Roscoe St, Chicago, IL 60618",https://zillow.com//b/3946-w-roscoe-st-chicago-il-9RzRD6/,3946 W  Roscoe St Apt 3C,60618,0.0,1.0,Studio ,41.943134,-87.726776
1000.0,"6912-14 N. Ashland Blvd., 6912 N Ashland Blvd #308, Chicago, IL 60626",https://www.zillow.com/apartments/chicago-il/6912-14-n.-ashland-blvd./9hJHr4/,6912 N Ashland Blvd #308,60626,0.0,1.0,Studio | 1 ba ,42.007084,-87.670425
1000.0,"1820 W 78th St FLOOR 2, Chicago, IL 60620",https://www.zillow.com/homedetails/1820-W-78th-St-FLOOR-2-Chicago-IL-60620/439208437_zpid/,1820 W 78th St FLOOR 2,60620,2.0,1.0,2 bds | 1 ba | 850 sqft,41.75224,-87.6693
1000.0,"453 E 107th St #208, Chicago, IL 60628",https://www.zillow.com/homedetails/453-E-107th-St-208-Chicago-IL-60628/442644133_zpid/,453 E 107th St #208,60628,1.0,1.0,1 bds | 1 ba | 700 sqft,41.699757,-87.61152
1000.0,"6650 W Belden Ave, Elmwood Park, IL 60707",https://zillow.com//apartments/chicago-il/montclare-senior-residences/5hJ4gc/,6650 W  Belden Ave # 1B-1Ba-611Sqft,60707,1.0,1.0,1 bds ,41.92092,-87.79132
1000.0,"North & Pulaski Elderly Apartments, 3949 W North Ave, Chicago, IL 60647",https://www.zillow.com/apartments/chicago-il/north-and-pulaski-elderly-apartments/CjgwDp/,3949 W North Ave #1B-1BA,60647,1.0,1.0,1 bds | 1 ba ,41.909584,-87.72614
1000.0,"2506 W 68th St #2, Chicago, IL 60629",https://www.zillow.com/homedetails/2506-W-68th-St-2-Chicago-IL-60629/443740935_zpid/,2506 W 68th St #2,60629,1.0,1.0,1 bds | 1 ba ,41.77012,-87.6861
1000.0,"6830 N Sheridan Rd, Chicago, IL 60626",https://zillow.com//b/6826-n-sheridan-rd-chicago-il-DJBR/,6830 N  Sheridan Rd # 461C,60626,0.0,1.0,Studio ,42.00644,-87.661514
1000.0,"1716 W 87th St #1W, Chicago, IL 60620",https://www.zillow.com/homedetails/1716-W-87th-St-1W-Chicago-IL-60620/446963517_zpid/,1716 W 87th St #1W,60620,2.0,1.0,2 bds | 1 ba | 740 sqft,41.7361,-87.6662
1000.0,"758 W 71st St #G, Chicago, IL 60621",https://www.zillow.com/homedetails/758-W-71st-St-G-Chicago-IL-60621/447538305_zpid/,758 W 71st St #G,60621,2.0,1.0,2 bds | 1 ba ,41.765434,-87.64388
