ID,Station Name,Short Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
a3a453fa-a135-11e9-9cda-0a87ae2ba916,State St & Kinzie St,13050,31,31,In Service,41.8893754666,-87.6270765066,POINT (-87.627076506615 41.889375466632)
a3a5fb0d-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 13th St,13165,15,15,In Service,41.865054,-87.656959,POINT (-87.656959 41.865054)
62cb5f1d-7dcb-4fe1-849f-d928288d73b9,Ada St & 113th Place,20129,15,15,In Service,41.68759,-87.65541,POINT (-87.65541 41.68759)
1563698718386161690,Oak Park & Wellington,,9,9,In Service,41.934586,-87.7959613,POINT (-87.7959613 41.934586)
a3ac35ed-a135-11e9-9cda-0a87ae2ba916,Jeffery Blvd & 67th St,KA1503000030,11,11,In Service,41.7735175513,-87.5771428255,POINT (-87.5771428255 41.77351755125)
a3b2513d-a135-11e9-9cda-0a87ae2ba916,Vincennes Ave & 75th St,16953,7,7,In Service,41.75797,-87.63121,POINT (-87.63121 41.75797)
a3ad1900-a135-11e9-9cda-0a87ae2ba916,Shields Ave & 31st St,KA1503000038,15,15,In Service,41.838464,-87.635406,POINT (-87.635406 41.838464)
a3ad6c01-a135-11e9-9cda-0a87ae2ba916,Lake Park Ave & 53rd St,KA1503000059,15,15,In Service,41.7994942937,-87.5864498959,POINT (-87.5864498959 41.79949429373)
1594046405283107532,Whipple St & Roosevelt Rd,,9,9,In Service,41.866554,-87.701329,POINT (-87.701329 41.866554)
a3b23263-a135-11e9-9cda-0a87ae2ba916,Racine Ave & 61st St,562,11,11,In Service,41.783189,-87.654372,POINT (-87.654372 41.783189)
95185a0d-da45-406a-a892-6b37b0d29fa8,Greenwood Ave & 97th St,20238,15,15,In Service,41.7187031548,-87.5970357656,POINT (-87.597035765648 41.718703154757)
a3b23785-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & 63rd St,16948,11,11,In Service,41.779374,-87.664843,POINT (-87.664843 41.779374)
a3b21de7-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Garfield Blvd,16943,11,11,In Service,41.792822,-87.664429,POINT (-87.664429 41.792822)
1436495105198659242,W Armitage Ave & N Sheffield Ave,,8,8,In Service,41.917805,-87.653449,POINT (-87.653449 41.917805)
a3aaaba2-a135-11e9-9cda-0a87ae2ba916,Stockton Dr & Wrightwood Ave,13276,15,15,In Service,41.93132,-87.638742,POINT (-87.638742 41.93132)
1594041777104953206,Hamlin Ave & 62nd Pl,,12,12,In Service,41.779953,-87.7178221,POINT (-87.7178221 41.779953)
2009656643260639434,Vincennes Ave & 95th St,24359,16,16,In Service,41.72126,-87.65005,POINT (-87.65005 41.72126)
2014856134756363200,Aberdeen St & 103rd St,24425,16,16,In Service,41.70704,-87.65022,POINT (-87.65022 41.70704)
a3ac213b-a135-11e9-9cda-0a87ae2ba916,California Ave & 21st St,13096,15,15,In Service,41.8537957935,-87.6958228648,POINT (-87.695822864771 41.853795793473)
1885794833713023406,Kostner Ave & Belmont Ave,23172,12,12,In Service,41.939191,-87.737112,POINT (-87.737112 41.939191)
a3b27bcf-a135-11e9-9cda-0a87ae2ba916,Greenwood Ave & 79th St,576,11,11,In Service,41.75129,-87.5976,POINT (-87.5976 41.75129)
2f5957e4-e83a-4d5a-b073-ec9422989315,Commercial Ave & 100th St,20225,15,15,In Service,41.7133173955,-87.5510975718,POINT (-87.55109757185 41.713317395477)
a3a60a65-a135-11e9-9cda-0a87ae2ba916,Dearborn Pkwy & Delaware Pl,TA1307000128,19,19,In Service,41.898969,-87.629912,POINT (-87.629912 41.898969)
a3b148bf-a135-11e9-9cda-0a87ae2ba916,Laramie Ave & Madison St,540,11,11,In Service,41.880207,-87.755337,POINT (-87.755337 41.880207)
a3a89ea8-a135-11e9-9cda-0a87ae2ba916,Ashland Ave & Wellington Ave,13269,19,19,In Service,41.936083,-87.669807,POINT (-87.669807 41.936083)
1575949519568499428,Hamlin Ave & Grand Ave,,9,9,In Service,41.904035,-87.721563,POINT (-87.721563 41.904035)
